"scale","items","k","n","alpha","alpha_se","omega_total","omega_hier","mean","sd"
"Knowledge (KN1–KN6)","KN1 KN2 KN3 KN4 KN5 KN6",6,130,0.561,0.059,0.566,0.564,0.55,0.48
"HPT total (POP+ROA+CONT)","POP1 POP2 POP3 ROA1 ROA2 ROA3 CONT1 CONT2 CONT3",9,127,0.349,0.085,0.735,0.401,2.54,0.95
"HPT — POP","POP1 POP2 POP3",3,130,0.515,0.073,0.551,NA,1.99,0.95
"HPT — ROA","ROA1 ROA2 ROA3",3,128,0.469,0.078,0.516,NA,2.85,0.94
"HPT — CONT","CONT1 CONT2 CONT3",3,131,0.653,0.053,0.659,0.659,2.78,0.97
"FR-LF RD subscale","RD1 RD2 RD3",3,129,0.532,0.07,0.541,0.541,2.49,1.3
"FR-LF NS subscale","NS1 NS2 NS3",3,128,0.61,0.059,0.627,NA,2.37,1.2
"FR-LF total (6 items)","RD1 RD2 RD3 NS1 NS2 NS3",6,127,0.673,0.044,0.677,0.675,2.43,1.25
"KSA-3 Aggression (A)","A1 A2 A3",3,130,0.641,0.053,0.655,0.655,3.05,1.26
"KSA-3 Submission (U)","U1 U2 U3",3,128,0.445,0.082,0.47,NA,2.75,1.14
"KSA-3 Conventionalism (K)","K1 K2 K3",3,129,0.578,0.062,0.59,0.59,2.98,1.16
"KSA-3 total (9 items)","A1 A2 A3 U1 U2 U3 K1 K2 K3",9,126,0.736,0.034,0.795,0.454,2.93,1.18
"SDR-5 Social Desirability","SDR1 SDR2 SDR3 SDR4 SDR5",5,130,0.421,0.08,0.435,NA,3.05,1.2
