"scale","items","k","n","alpha","alpha_se","omega_total","omega_hier","mean","sd"
"Knowledge (KN1–KN6)","KN1 KN2 KN3 KN4 KN5 KN6",6,286,0.549,0.041,0.552,NA,0.51,0.49
"HPT total (POP+ROA+CONT)","POP1 POP2 POP3 ROA1 ROA2 ROA3 CONT1 CONT2 CONT3",9,276,0.398,0.052,0.69,0.341,2.51,0.95
"HPT — POP","POP1 POP2 POP3",3,282,0.459,0.055,0.472,0.472,2.03,0.93
"HPT — ROA","ROA1 ROA2 ROA3",3,281,0.502,0.049,0.524,NA,2.8,0.95
"HPT — CONT","CONT1 CONT2 CONT3",3,287,0.644,0.037,0.649,NA,2.71,0.96
"FR-LF RD subscale","RD1 RD2 RD3",3,279,0.515,0.049,0.561,NA,2.54,1.24
"FR-LF NS subscale","NS1 NS2 NS3",3,280,0.596,0.041,0.604,0.604,2.43,1.2
"FR-LF total (6 items)","RD1 RD2 RD3 NS1 NS2 NS3",6,275,0.669,0.03,0.674,0.673,2.48,1.22
"KSA-3 Aggression (A)","A1 A2 A3",3,279,0.599,0.04,0.617,NA,2.97,1.19
"KSA-3 Submission (U)","U1 U2 U3",3,277,0.389,0.062,0.413,NA,2.7,1.11
"KSA-3 Conventionalism (K)","K1 K2 K3",3,276,0.562,0.044,0.572,NA,2.91,1.1
"KSA-3 total (9 items)","A1 A2 A3 U1 U2 U3 K1 K2 K3",9,267,0.713,0.025,0.769,0.489,2.86,1.13
"SDR-5 Social Desirability","SDR1 SDR2 SDR3 SDR4 SDR5",5,279,0.297,0.066,0.525,0.519,3.01,1.21
